sma,intens,int_err,pix_var,rms,ell,ell_err,pa,pa_err,x0,x0_err,y0,y0_err,grad,grad_err,grad_r_err,rsma,mag,mag_lerr,mag_uerr,tflux_e,tflux_c,tmag_e,tmag_c,npix_e,npix_c,a3,a3_err,b3,b3_err,a4,a4_err,b4,b4_err,ndata,nflag,niter,stop,a_big,sarea,pa_norm,sbp_ori,sbp_sub,sbp,intens_sub,intens_bkg,sbp_err,sbp_low,sbp_upp,sma_asec,rsma_asec,growth_ori,growth_sub,avg_x0,avg_y0,avg_q,avg_pa,avg_bkg,intens_cor,sbp_cor,growth_cor,rad_outer,mag_tot,mag_tot_ori,mag_tot_sub
3.104606,0.006581438,0.0001647573,0.001015632,0.0007181602,0.05,0.01192963,0.0,7.008726,22.0,0.0186271,21.0,0.01937631,-0.006007062,0.0006091783,0.1014104,1.327399,5.454198,0.02752611,0.02684515,0.7635519,0.7756863,0.2929036,0.2757848,27.0,29.0,-0.006398474,0.005660901,-0.002142494,0.005630334,0.005562125,0.004402288,-0.01305022,0.004563909,19,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.006581438,0.0,nan,-inf,nan,18.479797619047616,2.0733580281614183,0.652211846674787,0.652211846674787,22.0,21.000000000000004,0.95,0.0,0.0,0.006581438,-inf,0.652211846674787,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
3.415067,0.004716482,9.286355e-05,0.0006018245,0.0004255542,0.05,0.00851935,0.0,5.028739,22.0,0.01470205,21.0,0.01522101,-0.003795743,0.0003381374,0.08908331,1.359408,5.815955,0.02159046,0.02116954,0.8178313,0.8178313,0.2183407,0.2183407,37.0,37.0,-0.007953183,0.00385321,0.001708628,0.003774582,0.007071028,0.003458809,0.0001019405,0.003386771,21,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.004716482,0.0,nan,-inf,nan,20.32777976190476,2.1233544011893124,0.6807039509557378,0.6807039509557378,22.0,21.000000000000004,0.95,0.0,0.0,0.004716482,-inf,0.6807039509557378,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
3.756574,0.00342021,6.863755e-05,0.0004655225,0.0003291741,0.05,0.008767292,0.0,5.152971,22.0,0.01657233,21.0,0.01722903,-0.00286269,0.0002168283,0.07574286,1.392188,6.164868,0.0220102,0.02157325,0.8440282,0.8440282,0.1841076,0.1841076,45.0,45.0,-0.006722781,0.004127232,-0.00161594,0.004097798,0.008258218,0.002761008,0.01107531,0.002817206,23,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.00342021,0.0,nan,-inf,nan,22.36055952380952,2.1745563524506983,0.7057042038478133,0.7057042038478133,22.0,21.000000000000004,0.95,0.0,0.0,0.00342021,-inf,0.7057042038478133,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
4.132231,0.002344819,4.385777e-05,0.0003162629,0.0002236316,0.05,0.008087375,0.0,4.878939,22.0,0.01725712,21.0,0.01749065,-0.001662013,0.0001250365,0.07523195,1.425759,6.574727,0.02050008,0.02012019,0.8487446,0.8691548,0.1780575,0.1522572,47.0,57.0,-0.00563293,0.004027804,-0.0006332955,0.003894866,0.01079954,0.003190084,-0.005681467,0.003026758,26,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.002344819,0.0,nan,-inf,nan,24.59661309523809,2.2269928743370686,0.7264430939131771,0.7264430939131771,22.0,21.000000000000004,0.95,0.0,0.0,0.002344819,-inf,0.7264430939131771,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
4.545455,0.001658037,2.731437e-05,0.000204402,0.000144534,0.05,0.008237117,0.0,4.870965,22.0,0.01895529,21.0,0.01958758,-0.001041883,7.558376e-05,0.07254536,1.460139,6.951015,0.01803521,0.01774074,0.8825921,0.8886845,0.1355999,0.128131,65.0,69.0,-0.005831402,0.004005637,0.002625394,0.003963089,0.01061335,0.003455367,0.0006652392,0.003347326,28,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.001658037,0.0,nan,-inf,nan,27.056279761904754,2.2806940009964576,0.7441873241689724,0.7441873241689724,22.0,21.000000000000004,0.95,0.0,0.0,0.001658037,-inf,0.7441873241689724,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
5.0,0.001074149,1.581917e-05,0.0001265533,8.948673e-05,0.05,0.0001250876,0.0,0.0,22.0,0.0003183359,21.0,0.0003127562,-0.04,nan,nan,1.495349,7.422338,0.01610892,0.01587311,0.8907828,0.9011546,0.1255705,0.1130017,71.0,81.0,2.983257e-05,6.472227e-05,5.938755e-05,7.577402e-05,0.0001908725,0.0001594614,-8.435675e-05,8.114411e-05,32,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.001074149,0.0,nan,-inf,nan,29.76190476190476,2.3356898886410007,0.7580968243959593,0.7580968243959593,22.0,21.000000000000004,0.95,0.0,0.0,0.001074149,-inf,0.7580968243959593,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
5.5,0.0008488239,1.38109e-05,0.0001138876,8.053068e-05,0.05,0.0001174022,0.0,0.06966693,22.0,0.0003280423,21.0,0.0003378186,-0.032,nan,nan,1.531407,7.677956,0.01781074,0.01752354,0.9121435,0.915296,0.09984212,0.09609607,93.0,97.0,0.0001044855,0.0001012038,3.254079e-05,6.220121e-05,0.0002454908,0.0001996394,2.858882e-05,4.222363e-05,34,0,1.0,0.0,nan,2.0,0.0,-inf,-inf,-inf,0.0008488239,0.0,nan,-inf,nan,32.738095238095234,2.3920119884133717,0.771396785801511,0.771396785801511,22.0,21.000000000000004,0.95,0.0,0.0,0.0008488239,-inf,0.771396785801511,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
6.05,0.000623976,1.108407e-05,9.534878e-05,6.742177e-05,0.05,nan,0.0,nan,22.0,nan,21.0,nan,-0.0256,nan,nan,1.568335,8.01208,0.01946007,0.01911722,0.9215971,0.9252009,0.08864729,0.08440991,107.0,113.0,0.0001218,0.0001408418,4.301382e-05,0.0001074764,0.0002362185,0.0002104684,6.252665e-05,0.0001053986,37,0,1.0,4.0,nan,2.0,0.0,-inf,-inf,-inf,0.000623976,0.0,nan,-inf,nan,36.01190476190476,2.4496922217882373,0.7832268210170235,0.7832268210170235,22.0,21.000000000000004,0.95,0.0,0.0,0.000623976,-inf,0.7832268210170235,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
6.655,0.0004663421,9.356386e-06,8.472567e-05,5.99101e-05,0.05,nan,0.0,nan,22.0,nan,21.0,nan,-0.02048,nan,nan,1.606153,8.328238,0.02200506,0.02156781,0.9375818,0.9375818,0.06997704,0.06997704,137.0,137.0,0.0001157518,0.0001346446,5.399283e-05,0.0001063012,0.0001837871,0.0001733437,9.424693e-05,0.0001183502,41,0,1.0,4.0,nan,2.0,0.0,-inf,-inf,-inf,0.0004663421,0.0,nan,-inf,nan,39.613095238095234,2.5087633383770225,0.7939249577934796,0.7939249577934796,22.0,21.000000000000004,0.95,0.0,0.0,0.0004663421,-inf,0.7939249577934796,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
7.3205,0.0003403269,6.887738e-06,6.534282e-05,4.620435e-05,0.05,nan,0.0,nan,22.0,nan,21.0,nan,-0.016384,nan,nan,1.644884,8.670259,0.02219914,0.02175444,0.9457463,0.9516746,0.06056337,0.05377876,159.0,177.0,0.0001005623,0.0001146342,3.423733e-05,8.58232e-05,0.0001782831,0.0001600786,0.0001620108,0.0001484525,45,0,1.0,4.0,nan,2.0,0.0,-inf,-inf,-inf,0.0003403269,0.0,nan,-inf,nan,43.57440476190476,2.5692588775051006,0.8033717675649711,0.8033717675649711,22.0,21.000000000000004,0.95,0.0,0.0,0.0003403269,-inf,0.8033717675649711,14.97781120328335,0.1799244053719025,0.1799244053719025,0.1799244053719025
